protocol,model,review_cost,best_threshold,cost_at_best,cost_at_default_0_5,savings_vs_baseline_at_best,savings_vs_baseline_at_default,gain_from_tuning,baseline_flag_nothing,baseline_flag_everything,baseline_best_baseline,tp_at_best,fp_at_best,fn_at_best
stratified,xgboost,2.0,0.01,3117.31,4209.84,11649.000000000002,10556.470000000001,1092.5300000000002,14766.310000000001,113492.0,14766.310000000001,81,178,14
stratified,xgboost,5.0,0.01,3894.31,4428.84,10872.000000000002,10337.470000000001,534.5300000000002,14766.310000000001,283730.0,14766.310000000001,81,178,14
stratified,xgboost,10.0,0.14,4672.5599999999995,4793.84,10093.750000000002,9972.470000000001,121.28000000000065,14766.310000000001,567460.0,14766.310000000001,73,15,22
stratified,xgboost,25.0,0.7,5826.52,5888.84,8939.79,8877.470000000001,62.31999999999971,14766.310000000001,1418650.0,14766.310000000001,66,2,29
stratified,random_forest,2.0,0.35,3962.56,5061.4800000000005,10803.750000000002,9704.830000000002,1098.9200000000005,14766.310000000001,113492.0,14766.310000000001,73,12,22
stratified,random_forest,5.0,0.35,4217.5599999999995,5283.4800000000005,10548.750000000002,9482.830000000002,1065.920000000001,14766.310000000001,283730.0,14766.310000000001,73,12,22
stratified,random_forest,10.0,0.35,4642.5599999999995,5653.4800000000005,10123.750000000002,9112.830000000002,1010.920000000001,14766.310000000001,567460.0,14766.310000000001,73,12,22
stratified,random_forest,25.0,0.35,5917.5599999999995,6763.4800000000005,8848.750000000002,8002.830000000001,845.920000000001,14766.310000000001,1418650.0,14766.310000000001,73,12,22
stratified,logistic_regression,2.0,0.01,4083.34,10490.18,10682.970000000001,4276.130000000001,6406.84,14766.310000000001,113492.0,14766.310000000001,76,75,19
stratified,logistic_regression,5.0,0.07,4481.53,10676.18,10284.780000000002,4090.130000000001,6194.650000000001,14766.310000000001,283730.0,14766.310000000001,71,15,24
stratified,logistic_regression,10.0,0.07,4911.53,10986.18,9854.780000000002,3780.130000000001,6074.650000000001,14766.310000000001,567460.0,14766.310000000001,71,15,24
stratified,logistic_regression,25.0,0.07,6201.53,11916.18,8564.780000000002,2850.130000000001,5714.650000000001,14766.310000000001,1418650.0,14766.310000000001,71,15,24
stratified,dnn,2.0,0.08,3956.56,5434.219999999999,10809.750000000002,9332.090000000002,1477.6599999999994,14766.310000000001,113492.0,14766.310000000001,73,9,22
stratified,dnn,5.0,0.08,4202.5599999999995,5599.219999999999,10563.750000000002,9167.090000000002,1396.6599999999999,14766.310000000001,283730.0,14766.310000000001,73,9,22
stratified,dnn,10.0,0.09,4604.869999999999,5874.219999999999,10161.440000000002,8892.090000000002,1269.3500000000004,14766.310000000001,567460.0,14766.310000000001,72,8,23
stratified,dnn,25.0,0.09,5804.869999999999,6699.219999999999,8961.440000000002,8067.090000000002,894.3500000000004,14766.310000000001,1418650.0,14766.310000000001,72,8,23
chronological,xgboost,2.0,0.09,2550.0099999999998,4035.9600000000005,5177.66,3691.7099999999996,1485.9500000000007,7727.67,113492.0,7727.67,58,17,16
chronological,xgboost,5.0,0.09,2775.0099999999998,4197.960000000001,4952.66,3529.709999999999,1422.9500000000012,7727.67,283730.0,7727.67,58,17,16
chronological,xgboost,10.0,0.09,3150.0099999999998,4467.960000000001,4577.66,3259.709999999999,1317.9500000000012,7727.67,567460.0,7727.67,58,17,16
chronological,xgboost,25.0,0.09,4275.01,5277.960000000001,3452.66,2449.709999999999,1002.9500000000007,7727.67,1418650.0,7727.67,58,17,16
chronological,random_forest,2.0,0.39,2565.96,4372.86,5161.71,3354.8100000000004,1806.8999999999996,7727.67,113492.0,7727.67,53,4,21
chronological,random_forest,5.0,0.39,2736.96,4519.86,4990.71,3207.8100000000004,1782.8999999999996,7727.67,283730.0,7727.67,53,4,21
chronological,random_forest,10.0,0.39,3021.96,4764.86,4705.71,2962.8100000000004,1742.8999999999996,7727.67,567460.0,7727.67,53,4,21
chronological,random_forest,25.0,0.39,3876.96,5499.86,3850.71,2227.8100000000004,1622.8999999999996,7727.67,1418650.0,7727.67,53,4,21
chronological,logistic_regression,2.0,0.01,2686.4199999999996,6749.910000000001,5041.25,977.7599999999993,4063.490000000001,7727.67,113492.0,7727.67,62,96,12
chronological,logistic_regression,5.0,0.01,3160.4199999999996,6863.910000000001,4567.25,863.7599999999993,3703.490000000001,7727.67,283730.0,7727.67,62,96,12
chronological,logistic_regression,10.0,0.07,3674.6800000000003,7053.910000000001,4052.99,673.7599999999993,3379.2300000000005,7727.67,567460.0,7727.67,52,15,22
chronological,logistic_regression,25.0,0.07,4679.68,7623.910000000001,3047.99,103.75999999999931,2944.2300000000005,7727.67,1418650.0,7727.67,52,15,22
chronological,dnn,2.0,0.07,2761.39,4180.1900000000005,4966.280000000001,3547.4799999999996,1418.8000000000006,7727.67,113492.0,7727.67,53,2,21
chronological,dnn,5.0,0.07,2926.39,4318.1900000000005,4801.280000000001,3409.4799999999996,1391.8000000000006,7727.67,283730.0,7727.67,53,2,21
chronological,dnn,10.0,0.07,3201.39,4548.1900000000005,4526.280000000001,3179.4799999999996,1346.8000000000006,7727.67,567460.0,7727.67,53,2,21
chronological,dnn,25.0,0.07,4026.39,5238.1900000000005,3701.28,2489.4799999999996,1211.8000000000006,7727.67,1418650.0,7727.67,53,2,21
