review_cost,protocol,model,threshold,tp,fp,fn,review_cost_total,fn_loss_total,total_cost
2.0,stratified,xgboost,0.01,81,99,14,360.0,3321.76,3681.76
2.0,stratified,xgboost,0.02,81,53,14,268.0,3321.76,3589.76
2.0,stratified,xgboost,0.03,79,33,16,224.0,3776.8199999999997,4000.8199999999997
2.0,stratified,xgboost,0.04,77,22,18,198.0,3785.58,3983.58
2.0,stratified,xgboost,0.05,76,19,19,190.0,3786.58,3976.58
2.0,stratified,xgboost,0.06,75,16,20,182.0,3805.6200000000003,3987.6200000000003
2.0,stratified,xgboost,0.07,74,15,21,178.0,3809.38,3987.38
2.0,stratified,xgboost,0.08,74,14,21,176.0,3809.38,3985.38
2.0,stratified,xgboost,0.09,74,13,21,174.0,3809.38,3983.38
2.0,stratified,xgboost,0.1,74,12,21,172.0,3809.38,3981.38
2.0,stratified,xgboost,0.11,74,11,21,170.0,3809.38,3979.38
2.0,stratified,xgboost,0.12,74,11,21,170.0,3809.38,3979.38
2.0,stratified,xgboost,0.13,73,10,22,166.0,3811.6,3977.6
2.0,stratified,xgboost,0.14,73,9,22,164.0,3811.6,3975.6
2.0,stratified,xgboost,0.15,72,8,23,160.0,3811.6,3971.6
2.0,stratified,xgboost,0.16,72,8,23,160.0,3811.6,3971.6
2.0,stratified,xgboost,0.17,72,8,23,160.0,3811.6,3971.6
2.0,stratified,xgboost,0.18,72,8,23,160.0,3811.6,3971.6
2.0,stratified,xgboost,0.19,72,7,23,158.0,3811.6,3969.6
2.0,stratified,xgboost,0.2,72,7,23,158.0,3811.6,3969.6
2.0,stratified,xgboost,0.21,72,7,23,158.0,3811.6,3969.6
2.0,stratified,xgboost,0.22,72,7,23,158.0,3811.6,3969.6
2.0,stratified,xgboost,0.23,72,7,23,158.0,3811.6,3969.6
2.0,stratified,xgboost,0.24,72,6,23,156.0,3811.6,3967.6
2.0,stratified,xgboost,0.25,72,6,23,156.0,3811.6,3967.6
2.0,stratified,xgboost,0.26,72,6,23,156.0,3811.6,3967.6
2.0,stratified,xgboost,0.27,72,5,23,154.0,3811.6,3965.6
2.0,stratified,xgboost,0.28,72,5,23,154.0,3811.6,3965.6
2.0,stratified,xgboost,0.29,72,5,23,154.0,3811.6,3965.6
2.0,stratified,xgboost,0.3,72,5,23,154.0,3811.6,3965.6
2.0,stratified,xgboost,0.31,72,5,23,154.0,3811.6,3965.6
2.0,stratified,xgboost,0.32,72,4,23,152.0,3811.6,3963.6
2.0,stratified,xgboost,0.33,72,4,23,152.0,3811.6,3963.6
2.0,stratified,xgboost,0.34,72,4,23,152.0,3811.6,3963.6
2.0,stratified,xgboost,0.35,72,4,23,152.0,3811.6,3963.6
2.0,stratified,xgboost,0.36,72,4,23,152.0,3811.6,3963.6
2.0,stratified,xgboost,0.37,72,4,23,152.0,3811.6,3963.6
2.0,stratified,xgboost,0.38,72,3,23,150.0,3811.6,3961.6
2.0,stratified,xgboost,0.39,72,3,23,150.0,3811.6,3961.6
2.0,stratified,xgboost,0.4,71,3,24,148.0,4051.5299999999997,4199.53
2.0,stratified,xgboost,0.41,71,3,24,148.0,4051.5299999999997,4199.53
2.0,stratified,xgboost,0.42,71,2,24,146.0,4051.5299999999997,4197.53
2.0,stratified,xgboost,0.43,71,2,24,146.0,4051.5299999999997,4197.53
2.0,stratified,xgboost,0.44,71,2,24,146.0,4051.5299999999997,4197.53
2.0,stratified,xgboost,0.45,71,2,24,146.0,4051.5299999999997,4197.53
2.0,stratified,xgboost,0.46,71,2,24,146.0,4051.5299999999997,4197.53
2.0,stratified,xgboost,0.47,71,2,24,146.0,4051.5299999999997,4197.53
2.0,stratified,xgboost,0.48,71,2,24,146.0,4051.5299999999997,4197.53
2.0,stratified,xgboost,0.49,71,2,24,146.0,4051.5299999999997,4197.53
2.0,stratified,xgboost,0.5,71,2,24,146.0,4051.5299999999997,4197.53
2.0,stratified,xgboost,0.51,71,2,24,146.0,4051.5299999999997,4197.53
2.0,stratified,xgboost,0.52,70,2,25,144.0,4063.8399999999997,4207.84
2.0,stratified,xgboost,0.53,70,2,25,144.0,4063.8399999999997,4207.84
2.0,stratified,xgboost,0.54,70,2,25,144.0,4063.8399999999997,4207.84
2.0,stratified,xgboost,0.55,70,2,25,144.0,4063.8399999999997,4207.84
2.0,stratified,xgboost,0.56,70,2,25,144.0,4063.8399999999997,4207.84
2.0,stratified,xgboost,0.57,70,2,25,144.0,4063.8399999999997,4207.84
2.0,stratified,xgboost,0.58,70,2,25,144.0,4063.8399999999997,4207.84
2.0,stratified,xgboost,0.59,69,2,26,142.0,4081.8399999999997,4223.84
2.0,stratified,xgboost,0.6,69,2,26,142.0,4081.8399999999997,4223.84
2.0,stratified,xgboost,0.61,69,2,26,142.0,4081.8399999999997,4223.84
2.0,stratified,xgboost,0.62,69,1,26,140.0,4081.8399999999997,4221.84
2.0,stratified,xgboost,0.63,69,1,26,140.0,4081.8399999999997,4221.84
2.0,stratified,xgboost,0.64,69,1,26,140.0,4081.8399999999997,4221.84
2.0,stratified,xgboost,0.65,68,1,27,138.0,4082.8399999999997,4220.84
2.0,stratified,xgboost,0.66,68,1,27,138.0,4082.8399999999997,4220.84
2.0,stratified,xgboost,0.67,67,1,28,136.0,4083.52,4219.52
2.0,stratified,xgboost,0.68,67,1,28,136.0,4083.52,4219.52
2.0,stratified,xgboost,0.69,67,1,28,136.0,4083.52,4219.52
2.0,stratified,xgboost,0.7,67,1,28,136.0,4083.52,4219.52
2.0,stratified,xgboost,0.71,67,1,28,136.0,4083.52,4219.52
2.0,stratified,xgboost,0.72,67,1,28,136.0,4083.52,4219.52
2.0,stratified,xgboost,0.73,67,1,28,136.0,4083.52,4219.52
2.0,stratified,xgboost,0.74,67,1,28,136.0,4083.52,4219.52
2.0,stratified,xgboost,0.75,67,1,28,136.0,4083.52,4219.52
2.0,stratified,xgboost,0.76,67,1,28,136.0,4083.52,4219.52
2.0,stratified,xgboost,0.77,67,1,28,136.0,4083.52,4219.52
2.0,stratified,xgboost,0.78,67,1,28,136.0,4083.52,4219.52
2.0,stratified,xgboost,0.79,66,1,29,134.0,4160.459999999999,4294.459999999999
2.0,stratified,xgboost,0.8,66,1,29,134.0,4160.459999999999,4294.459999999999
2.0,stratified,xgboost,0.81,66,1,29,134.0,4160.459999999999,4294.459999999999
2.0,stratified,xgboost,0.82,66,1,29,134.0,4160.459999999999,4294.459999999999
2.0,stratified,xgboost,0.83,66,1,29,134.0,4160.459999999999,4294.459999999999
2.0,stratified,xgboost,0.84,65,1,30,132.0,5970.139999999999,6102.139999999999
2.0,stratified,xgboost,0.85,65,1,30,132.0,5970.139999999999,6102.139999999999
2.0,stratified,xgboost,0.86,65,1,30,132.0,5970.139999999999,6102.139999999999
2.0,stratified,xgboost,0.87,65,1,30,132.0,5970.139999999999,6102.139999999999
2.0,stratified,xgboost,0.88,65,1,30,132.0,5970.139999999999,6102.139999999999
2.0,stratified,xgboost,0.89,64,1,31,130.0,6035.139999999999,6165.139999999999
2.0,stratified,xgboost,0.9,62,1,33,126.0,6897.66,7023.66
2.0,stratified,xgboost,0.91,61,1,34,124.0,7614.81,7738.81
2.0,stratified,xgboost,0.92,61,1,34,124.0,7614.81,7738.81
2.0,stratified,xgboost,0.93,59,1,36,120.0,7665.98,7785.98
2.0,stratified,xgboost,0.94,56,1,39,114.0,7941.82,8055.82
2.0,stratified,xgboost,0.95,52,1,43,106.0,8306.82,8412.82
2.0,stratified,xgboost,0.96,50,1,45,102.0,8308.82,8410.82
2.0,stratified,xgboost,0.97,45,0,50,90.0,9305.03,9395.03
2.0,stratified,xgboost,0.98,30,0,65,60.0,10616.07,10676.07
2.0,stratified,xgboost,0.99,12,0,83,24.0,13396.800000000001,13420.800000000001
5.0,stratified,xgboost,0.01,81,99,14,900.0,3321.76,4221.76
5.0,stratified,xgboost,0.02,81,53,14,670.0,3321.76,3991.76
5.0,stratified,xgboost,0.03,79,33,16,560.0,3776.8199999999997,4336.82
5.0,stratified,xgboost,0.04,77,22,18,495.0,3785.58,4280.58
5.0,stratified,xgboost,0.05,76,19,19,475.0,3786.58,4261.58
5.0,stratified,xgboost,0.06,75,16,20,455.0,3805.6200000000003,4260.620000000001
5.0,stratified,xgboost,0.07,74,15,21,445.0,3809.38,4254.38
5.0,stratified,xgboost,0.08,74,14,21,440.0,3809.38,4249.38
5.0,stratified,xgboost,0.09,74,13,21,435.0,3809.38,4244.38
5.0,stratified,xgboost,0.1,74,12,21,430.0,3809.38,4239.38
5.0,stratified,xgboost,0.11,74,11,21,425.0,3809.38,4234.38
5.0,stratified,xgboost,0.12,74,11,21,425.0,3809.38,4234.38
5.0,stratified,xgboost,0.13,73,10,22,415.0,3811.6,4226.6
5.0,stratified,xgboost,0.14,73,9,22,410.0,3811.6,4221.6
5.0,stratified,xgboost,0.15,72,8,23,400.0,3811.6,4211.6
5.0,stratified,xgboost,0.16,72,8,23,400.0,3811.6,4211.6
5.0,stratified,xgboost,0.17,72,8,23,400.0,3811.6,4211.6
5.0,stratified,xgboost,0.18,72,8,23,400.0,3811.6,4211.6
5.0,stratified,xgboost,0.19,72,7,23,395.0,3811.6,4206.6
5.0,stratified,xgboost,0.2,72,7,23,395.0,3811.6,4206.6
5.0,stratified,xgboost,0.21,72,7,23,395.0,3811.6,4206.6
