block,n,n_fraud,fraud_rate_pct,start_hour,end_hour
0,9535,38,0.3985317252228631,0.0,3.9980555555555557
1,7947,43,0.5410846860450484,4.0008333333333335,7.999444444444444
2,29707,65,0.21880364897162285,7.999722222222222,11.999166666666667
3,31086,45,0.1447596988998263,11.999722222222223,15.998611111111112
4,32132,43,0.13382298020664757,15.999444444444444,19.99888888888889
5,33827,38,0.1123362994058001,19.999166666666667,23.99861111111111
6,9116,43,0.4716981132075472,23.999444444444446,27.998055555555556
7,8556,23,0.26881720430107525,27.999444444444446,31.998055555555556
8,29607,21,0.07092917215523356,31.99888888888889,35.99805555555555
9,32509,38,0.11689070718877849,35.998333333333335,39.99777777777778
10,32914,54,0.16406392416600837,39.998333333333335,43.99777777777778
11,26790,22,0.08212019410227697,43.99805555555555,47.99777777777778
