mode,seed,test_block,n_train,n_test,train_blocks,test_frauds,train_fraud_rate_pct,test_fraud_rate_pct,pr_auc,roc_auc,mcc,precision,recall,fit_seconds
static,42,2,47189,46727,2,71,0.30939413846447267,0.15194641213859225,0.8113339052935451,0.9743485130605305,0.8046989176206644,1.0,0.647887323943662,0.7
static,42,3,47189,50318,2,55,0.30939413846447267,0.10930482133630112,0.6917806112405273,0.9215294821963744,0.7274408648023462,0.9393939393939394,0.5636363636363636,0.7
static,42,4,47189,11547,2,60,0.30939413846447267,0.5196154845414394,0.7729790130271775,0.9959708075795828,0.7424779597203996,0.7377049180327869,0.75,0.7
static,42,5,47189,35732,2,27,0.30939413846447267,0.07556252098958917,0.6523945994207518,0.9706867489250909,0.5543039785296378,0.46153846153846156,0.6666666666666666,0.7
static,42,6,47189,49390,2,62,0.30939413846447267,0.12553148410609435,0.7576236885525103,0.9820729311625668,0.7093125150408588,0.7096774193548387,0.7096774193548387,0.7
static,42,7,47189,42823,2,52,0.30939413846447267,0.12143007262452421,0.7048885648716815,0.9627758204246946,0.666397785460828,0.68,0.6538461538461539,0.7
static,43,2,47189,46727,2,71,0.30939413846447267,0.15194641213859225,0.8123619156171543,0.9758782892830232,0.8046989176206644,1.0,0.647887323943662,0.7
static,43,3,47189,50318,2,55,0.30939413846447267,0.10930482133630112,0.692615714993661,0.9185278164129406,0.7166451944528893,0.9117647058823529,0.5636363636363636,0.7
static,43,4,47189,11547,2,60,0.30939413846447267,0.5196154845414394,0.753700626222334,0.9956051768666029,0.7424779597203996,0.7377049180327869,0.75,0.7
static,43,5,47189,35732,2,27,0.30939413846447267,0.07556252098958917,0.6645430047747056,0.9684409798399436,0.5543039785296378,0.46153846153846156,0.6666666666666666,0.7
static,43,6,47189,49390,2,62,0.30939413846447267,0.12553148410609435,0.7442903332440547,0.9812149482594457,0.7167216902019443,0.7413793103448276,0.6935483870967742,0.7
static,43,7,47189,42823,2,52,0.30939413846447267,0.12143007262452421,0.7023824541519738,0.9578749440220998,0.6801721588851943,0.7083333333333334,0.6538461538461539,0.7
static,44,2,47189,46727,2,71,0.30939413846447267,0.15194641213859225,0.8070760311381362,0.9725832705423212,0.8046989176206644,1.0,0.647887323943662,0.7
static,44,3,47189,50318,2,55,0.30939413846447267,0.10930482133630112,0.691081485784167,0.9227640791256174,0.7021006423457711,0.9354838709677419,0.5272727272727272,0.7
static,44,4,47189,11547,2,60,0.30939413846447267,0.5196154845414394,0.7413023200611478,0.9953498157337279,0.7381729361181969,0.7457627118644068,0.7333333333333333,0.7
static,44,5,47189,35732,2,27,0.30939413846447267,0.07556252098958917,0.6569549049709154,0.9652180678087413,0.5374529658073189,0.4594594594594595,0.6296296296296297,0.7
static,44,6,47189,49390,2,62,0.30939413846447267,0.12553148410609435,0.7322714934539496,0.9831287340566897,0.7271625282337496,0.7457627118644068,0.7096774193548387,0.7
static,44,7,47189,42823,2,52,0.30939413846447267,0.12143007262452421,0.7009840888206247,0.9633382971567723,0.7002115760931624,0.7291666666666666,0.6730769230769231,0.7
expanding,42,2,47189,46727,2,71,0.30939413846447267,0.15194641213859225,0.8113339052935451,0.9743485130605305,0.8046989176206644,1.0,0.647887323943662,0.7
expanding,42,3,93916,50318,3,55,0.2310575407811236,0.10930482133630112,0.7202847438325051,0.920654086776284,0.8099952088955256,0.95,0.6909090909090909,1.0
expanding,42,4,144234,11547,4,60,0.18858244241995645,0.5196154845414394,0.8152272273759298,0.9894532950291633,0.8248480926418802,0.8703703703703703,0.7833333333333333,1.3
expanding,42,5,155781,35732,5,27,0.21311970009179554,0.07556252098958917,0.725002869722523,0.9799250027229301,0.7145184835330196,0.6896551724137931,0.7407407407407407,1.4
expanding,42,6,191513,49390,6,62,0.18745463754418762,0.12553148410609435,0.8411824520221359,0.9836185428939136,0.8517959860003834,1.0,0.7258064516129032,1.6
expanding,42,7,240903,42823,7,52,0.17475913541965024,0.12143007262452421,0.7579830127616685,0.9781011756707906,0.8214350243152893,0.9487179487179487,0.7115384615384616,1.9
expanding,43,2,47189,46727,2,71,0.30939413846447267,0.15194641213859225,0.8123619156171543,0.9758782892830232,0.8046989176206644,1.0,0.647887323943662,0.7
expanding,43,3,93916,50318,3,55,0.2310575407811236,0.10930482133630112,0.7177356636983288,0.9292696778581029,0.8099952088955256,0.95,0.6909090909090909,1.0
expanding,43,4,144234,11547,4,60,0.18858244241995645,0.5196154845414394,0.8177548251952541,0.9904558776588026,0.792536312713439,0.8214285714285714,0.7666666666666667,1.3
expanding,43,5,155781,35732,5,27,0.21311970009179554,0.07556252098958917,0.7193448134422853,0.9814280601845369,0.6732963515417051,0.5833333333333334,0.7777777777777778,1.4
expanding,43,6,191513,49390,6,62,0.18745463754418762,0.12553148410609435,0.845786133899089,0.9849251357600995,0.8326351849526548,1.0,0.6935483870967742,1.6
expanding,43,7,240903,42823,7,52,0.17475913541965024,0.12143007262452421,0.7628846010600304,0.9846220390163717,0.8096710850175086,0.9473684210526315,0.6923076923076923,1.9
expanding,44,2,47189,46727,2,71,0.30939413846447267,0.15194641213859225,0.8070760311381362,0.9725832705423212,0.8046989176206644,1.0,0.647887323943662,0.6
