block,feature,ks_stat,p_value
1,V1,0.024562011159440345,1.610104533858506e-07
1,V2,0.12448159095819022,4.215508002392827e-183
1,V3,0.09596128323678804,7.750643224955548e-109
1,V4,0.05676468248011768,2.5702752691131607e-38
1,V5,0.08979867844106029,2.4502772693448627e-95
1,V6,0.012025227078069078,0.0397178178620774
1,V7,0.021929325453249077,4.421879686166539e-06
1,V8,0.08558013534121167,1.2892758882778852e-86
1,V9,0.3929398566913649,0.0
1,V10,0.19523289171523922,0.0
1,V11,0.20960066056781113,0.0
1,V12,0.5311851906573423,0.0
1,V13,0.3596718428342439,0.0
1,V14,0.4531147768249567,0.0
1,V15,0.14948188162203535,3.033677271462656e-264
1,V16,0.02046091168945985,2.3840112255007477e-05
1,V17,0.22576697215739056,0.0
1,V18,0.07664534323994637,1.5417539688948235e-69
1,V19,0.04270023059527439,7.309047821597702e-22
1,V20,0.03733424597692758,8.192106536120032e-17
1,V21,0.14666770159442116,2.3389488619470246e-254
1,V22,0.05428816780392498,4.420768140533134e-35
1,V23,0.020498638090374666,2.286355777180995e-05
1,V24,0.018117713630702803,0.0002753890860016055
1,V25,0.03330261604193974,1.825563553241016e-13
1,V26,0.055336571956284566,1.9653358431749218e-36
1,V27,0.045132192756693446,2.249316062565513e-24
1,V28,0.07171469005546566,6.349278026675338e-61
1,Amount,0.13998571362933532,1.1964878246186208e-231
2,V1,0.022783100017113755,1.2239229180983274e-06
2,V2,0.07149636053370054,1.245037838083185e-61
2,V3,0.0946822090899388,7.540217438532797e-108
2,V4,0.07413913044974141,3.033239073395246e-66
2,V5,0.0767869520820712,4.910096460670648e-71
2,V6,0.029061625301670835,1.5595450550286858e-10
2,V7,0.02404697732208927,2.3964799711785547e-07
2,V8,0.10118664056695248,3.783845055155201e-123
2,V9,0.3985918725109622,0.0
2,V10,0.1637029713019299,0.0
2,V11,0.2293267356389097,0.0
2,V12,0.5420350224333104,0.0
2,V13,0.34644268511036447,0.0
2,V14,0.4458105612602653,0.0
2,V15,0.18704660159338438,0.0
2,V16,0.022239346570207097,2.4025480143332636e-06
2,V17,0.23915937493888717,0.0
2,V18,0.05631391442832967,2.2009259172331354e-38
2,V19,0.04651495614474327,2.5512358143209168e-26
2,V20,0.03177000035935143,1.6657229115535997e-12
2,V21,0.11120972110933797,9.84889428998177e-149
2,V22,0.029574460430422778,6.810660502247991e-11
2,V23,0.027577105498952426,1.5814575577590382e-09
2,V24,0.02366065580238097,3.9819438931637875e-07
2,V25,0.023358952057108362,5.886145591490145e-07
2,V26,0.04136322878376564,6.693545331985565e-21
2,V27,0.05277350311701362,9.274975950361437e-34
2,V28,0.0815073975611339,5.382501264011959e-80
2,Amount,0.052720402957760926,1.0823937586838512e-33
3,V1,0.41932025017488617,0.0
3,V2,0.04474910965297696,1.1501543480586018e-15
3,V3,0.4972669424288859,0.0
3,V4,0.1605163043618406,1.897511218776346e-197
3,V5,0.2924814312646849,0.0
3,V6,0.10721691122495136,4.6798095314693483e-88
3,V7,0.15054996734810516,1.2699563119318257e-173
3,V8,0.18366996526325136,7.55747175206571e-259
3,V9,0.08855749234126631,3.6479084085996826e-60
3,V10,0.05862701525723779,1.3773140145692985e-26
3,V11,0.17323851509184868,3.9024049014394645e-230
3,V12,0.018315185597785943,0.005570173938518982
3,V13,0.022150246659502493,0.00036727253336884353
3,V14,0.03673486848757611,1.0724295857778357e-10
3,V15,0.2203005257773381,0.0
3,V16,0.05517941085684108,1.33843935119772e-23
3,V17,0.13733273439918658,1.996858609600068e-144
3,V18,0.12975136348989696,6.562594427068892e-129
3,V19,0.04249524988421716,3.6080906066241424e-14
3,V20,0.1822595194784043,7.273526259915955e-255
3,V21,0.17521055793060702,1.9749843365141925e-235
3,V22,0.24971600101090852,0.0
3,V23,0.16192979229937532,5.924268882083836e-201
3,V24,0.09310933614920902,1.787435616981865e-66
3,V25,0.2670433062773457,0.0
3,V26,0.12663139762833386,8.768813258085239e-123
3,V27,0.07272101488981636,1.0883198965613299e-40
3,V28,0.35950430158758007,0.0
3,Amount,0.09634617681671664,3.7277322429505215e-71
4,V1,0.4309419084660452,0.0
4,V2,0.15408391415320938,3.2457657877985837e-282
4,V3,0.5679649158302724,0.0
4,V4,0.18642813811795278,0.0
4,V5,0.21616558156165389,0.0
4,V6,0.11267565347965419,9.598806519572233e-151
4,V7,0.13622438262958392,2.0067764141103565e-220
4,V8,0.11492469948181144,8.019984966164511e-157
4,V9,0.3256155735525609,0.0
4,V10,0.17106476103460355,0.0
4,V11,0.3477933505218753,0.0
4,V12,0.5242356734944736,0.0
4,V13,0.3488020314585958,0.0
4,V14,0.40217889965827114,0.0
4,V15,0.13034949320924638,8.677846032062923e-202
4,V16,0.031213685797855106,6.15173275034736e-12
4,V17,0.25660095780905284,0.0
4,V18,0.061079651262476276,1.620083476464381e-44
4,V19,0.0757657496610673,2.7070106538719197e-68
4,V20,0.1501959408197956,4.2004174847232565e-268
4,V21,0.2802629606202351,0.0
4,V22,0.2670812426426328,0.0
4,V23,0.18982596642241745,0.0
4,V24,0.08973794590058126,1.1175895343692522e-95
4,V25,0.278069943496067,0.0
4,V26,0.10092688310877618,5.7601964321766894e-121
4,V27,0.052513309678348497,5.1850490828620044e-33
4,V28,0.335328687907812,0.0
4,Amount,0.12107292496340089,4.655905031691543e-174
5,V1,0.4248553972583776,0.0
5,V2,0.09861192648062414,1.7935808152190857e-114
5,V3,0.5744612690861955,0.0
5,V4,0.20997372665181913,0.0
5,V5,0.21346895992014264,0.0
5,V6,0.14279260010035527,4.1014152598565564e-240
5,V7,0.13757638700478952,7.529303202637449e-223
5,V8,0.0857441031431444,1.3130063525038433e-86
5,V9,0.3271826712125533,0.0
5,V10,0.1290507718357426,4.874078210926482e-196
5,V11,0.35411331667367707,0.0
5,V12,0.5351682384695808,0.0
5,V13,0.3351135775983464,0.0
5,V14,0.40519344565156734,0.0
5,V15,0.13187627127433044,9.892512143183915e-205
5,V16,0.038387929496730255,1.1045720689974734e-17
5,V17,0.25533035872348225,0.0
5,V18,0.06011100788569368,9.433649606456409e-43
5,V19,0.09666442296046568,5.2808114300968324e-110
5,V20,0.1528704265702186,2.5351183539813346e-275
5,V21,0.23220387585722113,0.0
5,V22,0.23137075811066476,0.0
5,V23,0.21614795113802265,0.0
5,V24,0.09042616817028426,2.710207919479139e-96
5,V25,0.3163447377533594,0.0
5,V26,0.10758390043864363,3.188009316864251e-136
5,V27,0.04668887913060521,5.909163192267626e-26
5,V28,0.33168735253065507,0.0
5,Amount,0.03832905056886471,1.2476519002746388e-17
