block,feature,ks_stat,p_value
1,V1,0.08128412541527075,3.074682665318366e-25
1,V2,0.08123142392291788,3.310873154655468e-25
1,V3,0.05330746626145311,4.2530261697213674e-11
1,V4,0.033645280163051704,0.0001112026592999339
1,V5,0.0749949962890476,1.5142140131434772e-21
1,V6,0.01837662138352661,0.10681236175982795
1,V7,0.09130502909719199,9.723088564105012e-32
1,V8,0.04471480499488653,6.169877548409662e-08
1,V9,0.07427373453538916,3.8424487712871944e-21
1,V10,0.08307721509328111,2.401126755686543e-26
1,V11,0.02049990802550472,0.05230674128948114
1,V12,0.02668092981845105,0.004201133185501551
1,V13,0.04359270016655592,1.4528392857563033e-07
1,V14,0.021020248670046704,0.043391383666096586
1,V15,0.06721350637469575,2.1693450245905992e-17
1,V16,0.018754430868644256,0.09460896441457921
1,V17,0.04812747974109871,3.990439186163124e-09
1,V18,0.03121268531848327,0.0004348940486600732
1,V19,0.030734468566463946,0.0005618152060411217
1,V20,0.06926436176947415,1.9284248618046055e-18
1,V21,0.05702638517000258,1.2256664366065625e-12
1,V22,0.04855816390345297,2.7843342307065645e-09
1,V23,0.03880936031791837,4.381891605563059e-06
1,V24,0.05106456215237787,3.2169860238780486e-10
1,V25,0.09596885805404565,5.057410645322308e-35
1,V26,0.11061572981282386,2.0924247128072174e-46
1,V27,0.06420836230405591,6.59651004414552e-16
1,V28,0.05258990799992669,8.202479255591551e-11
1,Amount,0.049679962327758315,1.0740887376512987e-09
2,V1,0.06597434236047983,1.1542268936669023e-27
2,V2,0.16557005345393072,8.443181090464749e-173
2,V3,0.11525562669561867,1.0690131318939e-83
2,V4,0.046753992896183094,4.20785814104384e-14
2,V5,0.11703906198397715,2.65774849323363e-86
2,V6,0.014867883555740924,0.0823336653752933
2,V7,0.048472354136783025,3.983093051811276e-15
2,V8,0.09521624792724115,3.2918172856380183e-57
2,V9,0.420915498036493,0.0
2,V10,0.20926228025502208,8.470098679128761e-277
2,V11,0.20060772318933068,3.3148011443478973e-254
2,V12,0.53276690908049,0.0
2,V13,0.39156490008950795,0.0
2,V14,0.45877712710203045,0.0
2,V15,0.1700103989884213,3.1371237490269264e-182
2,V16,0.024091056151688606,0.00046518867036105026
2,V17,0.20288810339341534,4.610273047798082e-260
2,V18,0.08957220834661855,1.1479396581569635e-50
2,V19,0.038883429088225174,6.930459859317336e-10
2,V20,0.03523334301706019,3.412134166804755e-08
2,V21,0.16074757239415877,7.55738667777215e-163
2,V22,0.06908772650175221,2.6849501373797138e-30
2,V23,0.02128752948287027,0.0029069652074043516
2,V24,0.035607418440023464,2.329517873428597e-08
2,V25,0.07758151134584268,4.213499640524265e-38
2,V26,0.09614057008844379,2.556207182865011e-58
2,V27,0.07059388574492009,1.2919833294342553e-31
2,V28,0.08799642814913972,6.526324633699255e-49
2,Amount,0.15320044283743828,7.064993693211705e-148
3,V1,0.05564225777442311,5.2015439303958867e-20
3,V2,0.1478976893939235,2.629667890416035e-139
3,V3,0.12373024516512282,1.7289600891462605e-97
3,V4,0.05322610189337551,2.401352924120397e-18
3,V5,0.12170990147548516,2.463926956576158e-94
3,V6,0.015755583726186573,0.05351224816239897
3,V7,0.05016320807768945,2.420345345531635e-16
3,V8,0.10278810516046477,2.4022141275450597e-67
3,V9,0.42494910648104733,0.0
3,V10,0.19120839466761835,2.5559310460297516e-233
3,V11,0.21382064339277818,2.878678001536214e-292
3,V12,0.5377990347554373,0.0
3,V13,0.363913179977785,0.0
3,V14,0.44918463499298694,0.0
3,V15,0.17279525792815303,2.4488567254256384e-190
3,V16,0.022661859239878013,0.0011229434389376865
3,V17,0.20866010846530852,3.271737608397079e-278
3,V18,0.06902275125314711,1.4384120408392647e-30
3,V19,0.028599506838579702,1.3353616213067817e-05
3,V20,0.04448155751927707,6.100715135345409e-13
3,V21,0.15048026862284003,3.1838855223837495e-144
3,V22,0.05402476164081216,6.894548634362683e-19
3,V23,0.018034804410096257,0.017429848464989375
3,V24,0.03251397828406821,4.100457425581003e-07
3,V25,0.062438274131164206,4.341726622850854e-25
3,V26,0.07939682379475099,2.5451270671461332e-40
3,V27,0.07184472623284632,4.371834249010209e-33
3,V28,0.08940174322427313,5.0330788678731255e-51
3,Amount,0.1357729304794001,2.2151025672337683e-117
4,V1,0.047728661551709295,6.0341635193085835e-15
4,V2,0.11615408725245258,1.3650344706276358e-86
4,V3,0.11827880794042883,8.802294575005681e-90
4,V4,0.0609562518570802,4.113703029233303e-24
4,V5,0.1141856950957445,1.0932576203046777e-83
4,V6,0.01747485612211533,0.022501278580433128
4,V7,0.04929657361926815,6.469711553080789e-16
4,V8,0.11596906627817499,2.5716185006333502e-86
4,V9,0.42989572019693983,0.0
4,V10,0.1870829318871493,5.1457812478584945e-225
4,V11,0.22641278312913754,0.0
4,V12,0.5400607718674718,0.0
4,V13,0.37424399030398875,0.0
4,V14,0.44867573136763234,0.0
4,V15,0.19190919834078796,7.52741783232216e-237
4,V16,0.035284275842623725,2.3149072740503265e-08
4,V17,0.20665873177111493,5.917811863347887e-275
4,V18,0.06954449004306434,2.9148537225709214e-31
4,V19,0.03689775652363986,4.191417154176321e-09
4,V20,0.031485739621205225,9.566164742129967e-07
4,V21,0.1313641862389856,1.0063312191033991e-110
4,V22,0.04575692566222145,9.027184652945209e-14
4,V23,0.01415264923734854,0.10518493233432824
4,V24,0.025184476838371606,0.00018039572359508668
4,V25,0.05863978991540231,2.404511276948525e-22
4,V26,0.09217857490062986,1.2315752422923577e-54
4,V27,0.06573792098764691,5.624205905197928e-28
4,V28,0.09804887023292364,8.961638830183993e-62
4,Amount,0.08712782551941656,7.531196926301014e-49
5,V1,0.04154812640342043,1.4791615442787575e-11
5,V2,0.08379260396138186,9.97279496523674e-46
5,V3,0.11855576368546444,3.0437936333082064e-91
5,V4,0.07404968042840465,8.530321059884216e-36
5,V5,0.0971807265793794,2.1740691344757736e-61
5,V6,0.04650280408835017,2.2761098177952628e-14
5,V7,0.048782665029279304,9.04479696220152e-16
5,V8,0.1111775795539397,2.9103562985887118e-80
5,V9,0.42927382533354075,0.0
5,V10,0.14874293448051296,1.250602311891857e-143
5,V11,0.2285282136959481,0.0
5,V12,0.5514420140551464,0.0
5,V13,0.35525086711385895,0.0
5,V14,0.4445830581763861,0.0
5,V15,0.2275490434099024,0.0
5,V16,0.024484087404614385,0.00027141910008237914
5,V17,0.23119848688539274,0.0
5,V18,0.04790820217333169,3.1741261244133593e-15
5,V19,0.039398510910138684,1.957984432922024e-10
5,V20,0.03889840516342502,3.5014101343779214e-10
5,V21,0.10935248541923331,1.1751827733346819e-77
5,V22,0.02665603736669131,5.219595335719592e-05
5,V23,0.03648959826884712,5.186926462132395e-09
5,V24,0.020554146435578458,0.003755471905399915
5,V25,0.06022443233638053,8.162453683911609e-24
5,V26,0.0902843617898118,4.967501796534961e-53
5,V27,0.06700061418698483,2.2337844754015943e-29
5,V28,0.09868533183808637,2.699003887359711e-63
5,Amount,0.048805862711114145,8.7458218874751105e-16
6,V1,0.3914794349775872,0.0
6,V2,0.05253999531440845,1.4123793214310663e-11
6,V3,0.526369032916716,0.0
6,V4,0.13349839248603523,1.6172872610878293e-72
6,V5,0.2921283210540327,2.36e-321
6,V6,0.12107932336083993,1.0596009075955576e-59
6,V7,0.16727664038326084,8.57395885237561e-114
6,V8,0.16661650976905917,6.766860276135313e-113
6,V9,0.09338402338613172,1.1676876782639857e-35
6,V10,0.06448514355632917,3.1999241523754625e-17
6,V11,0.17031035608929207,5.8180936679434676e-118
6,V12,0.015510289924199006,0.21122571241171903
6,V13,0.03598839318596092,1.1637031814435008e-05
6,V14,0.0492633423508205,3.1392706969181003e-10
6,V15,0.2823115343692273,4.94e-321
6,V16,0.03240368468496391,0.00011368697095462971
6,V17,0.08534606477909845,7.513753034187e-30
6,V18,0.09559535243258321,2.3839280107532776e-37
6,V19,0.07337892417568759,3.565856484273745e-22
6,V20,0.17784210740161804,1.2178497030672967e-128
6,V21,0.14288644997919775,4.7918933681596506e-83
6,V22,0.22720440957640964,2.1857706539144485e-210
6,V23,0.1657457515196693,1.0190803411749334e-111
6,V24,0.08338272136869873,1.6402042571607983e-28
6,V25,0.2678894659501435,2.5721244305642974e-293
6,V26,0.14603022033642143,9.830149991551761e-87
6,V27,0.08121434415859258,4.546393190457383e-27
6,V28,0.3074887611779369,0.0
6,Amount,0.03851215303118394,2.0265490455986604e-06
7,V1,0.45296457024473036,0.0
7,V2,0.09136486642219416,4.2978717838033087e-33
7,V3,0.504395529691718,0.0
7,V4,0.17984054152636553,1.9176281270927095e-127
7,V5,0.27135117924636276,1.304817355587493e-291
7,V6,0.1020868741405333,3.208644149155729e-41
7,V7,0.12017148617904111,5.529819484698076e-57
7,V8,0.17219250286356746,8.073210196538378e-117
7,V9,0.08225722677590086,6.688394484308072e-27
7,V10,0.06060214960404775,8.544214658908564e-15
7,V11,0.17144058309210153,8.437148016778161e-116
7,V12,0.03143835129688266,0.0002690424115202833
7,V13,0.03112564576419613,0.0003208834811320966
7,V14,0.04449663620976563,3.564073043353154e-08
7,V15,0.10333257521070299,3.1878491298105157e-42
7,V16,0.06733562854743735,3.643245495286324e-18
7,V17,0.16037993136075912,2.4651899593613223e-101
7,V18,0.17539295594539156,3.3006148014300275e-121
7,V19,0.060780177413529035,7.032807325711331e-15
7,V20,0.22525477307217023,2.6634621003360417e-200
7,V21,0.22063572451117663,4.024811971179928e-192
7,V22,0.26931129423009126,3.400858693589162e-287
7,V23,0.14318295336894282,8.646390794337182e-81
7,V24,0.09980315260139816,2.0576490694883915e-39
7,V25,0.24854986063866583,3.1012047518325675e-244
7,V26,0.15910851392856287,9.812101750795373e-100
7,V27,0.06923017416258093,3.5413095056033933e-19
7,V28,0.3829216529189225,0.0
7,Amount,0.129204247281775,7.93976028337033e-66
8,V1,0.4418697160187941,0.0
8,V2,0.20444377326554697,5.962582638424333e-264
8,V3,0.5729113395193071,0.0
8,V4,0.18892555032784347,3.749549412446342e-225
8,V5,0.20097671121452887,5.23674692775267e-255
