protocol,k,pr_auc,features,delta_vs_full,ci_lo,ci_hi,verdict
stratified,4,0.7091647845573129,V4|V14|V12|V10,-0.10159759585099104,-0.15238059321125808,-0.05433921834322665,worse than full
stratified,8,0.7290485159951208,V4|V14|V12|V10|V8|Amount|V11|V19,-0.08171386441318318,-0.13714319017338722,-0.025792068223367257,worse than full
stratified,15,0.7929533324729525,V4|V14|V12|V10|V8|Amount|V11|V19|V17|V21|V13|V16|V15|V7|V3,-0.01780904793535143,-0.036170271386845386,-0.004668880338682451,worse than full
stratified,20,0.8068437472408915,V4|V14|V12|V10|V8|Amount|V11|V19|V17|V21|V13|V16|V15|V7|V3|V28|Time|V22|V6|V24,-0.0039186331674124775,-0.010989194312227479,0.0010584545564994356,indistinguishable
stratified,30,0.810762380408304,V4|V14|V12|V10|V8|Amount|V11|V19|V17|V21|V13|V16|V15|V7|V3|V28|Time|V22|V6|V24|V2|V23|V1|V5|V26|V20|V27|V25|V9|V18,,,,
chronological,4,0.7630581741021781,V4|V14|V12|V10,-0.034550934139961686,-0.06445512626901691,-0.012375749611265143,worse than full
chronological,8,0.7539778606630169,V4|V14|V12|V10|V8|Amount|V17|V11,-0.043631247579122956,-0.09477113801887434,-0.0059319522497319485,worse than full
chronological,15,0.7954937164438252,V4|V14|V12|V10|V8|Amount|V17|V11|V16|V19|V13|V7|V3|V20|Time,-0.0021153917983146586,-0.01726577859502524,0.009032469327750934,indistinguishable
chronological,20,0.7886769593817419,V4|V14|V12|V10|V8|Amount|V17|V11|V16|V19|V13|V7|V3|V20|Time|V21|V27|V22|V6|V5,-0.008932148860397948,-0.023986282351110933,0.0006465267702519108,indistinguishable
chronological,30,0.7976091082421398,V4|V14|V12|V10|V8|Amount|V17|V11|V16|V19|V13|V7|V3|V20|Time|V21|V27|V22|V6|V5|V26|V28|V2|V1|V15|V25|V9|V24|V18|V23,,,,
