model,strategy,protocol,cv_pr_auc_mean,cv_pr_auc_std,test_pr_auc,test_mcc,test_precision,test_recall,test_f1,tp,fp,fn,n_iter,fit_seconds,best_params
logistic_regression,none,stratified,0.7537073097901003,0.026293891337436256,0.6825811762838582,0.6901890731057709,0.8548387096774194,0.5578947368421052,0.6751592356687898,53,9,42,5,5.9,"{""model__C"": ""0.01""}"
logistic_regression,smote,stratified,0.7590004214453073,0.024234527488879665,0.6991836438636565,0.7916416820323026,0.8275862068965517,0.7578947368421053,0.7912087912087912,72,15,23,5,10.5,"{""resampler__sampling_strategy"": ""0.01"", ""model__C"": ""1.0""}"
logistic_regression,undersample,stratified,0.7570381406032005,0.01971079243907095,0.6991643443385461,0.7851613908036419,0.8255813953488372,0.7473684210526316,0.7845303867403315,71,15,24,5,2.0,"{""resampler__sampling_strategy"": ""0.01"", ""model__C"": ""1.0""}"
logistic_regression,class_weight,stratified,0.7548215765927336,0.02611545705739059,0.6705407257439832,0.21816559556836068,0.05627118644067797,0.8736842105263158,0.10573248407643313,83,1392,12,5,10.5,"{""model__C"": ""0.1""}"
random_forest,none,stratified,0.8362235301838561,0.03368970694138243,0.7866425678695813,0.8399337442856101,0.971830985915493,0.7263157894736842,0.8313253012048193,69,2,26,5,348.3,"{""model__n_estimators"": ""200"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""sqrt"", ""model__max_depth"": ""10""}"
random_forest,smote,stratified,0.8445993139112422,0.027387864497619662,0.8051459370105063,0.8409075166262782,0.9466666666666667,0.7473684210526316,0.8352941176470589,71,4,24,5,446.1,"{""resampler__sampling_strategy"": ""0.01"", ""model__n_estimators"": ""100"", ""model__min_samples_leaf"": ""1"", ""model__max_features"": ""sqrt"", ""model__max_depth"": ""10""}"
random_forest,undersample,stratified,0.8203155798858894,0.040530513006746566,0.7844278268043373,0.8073235538591877,0.8488372093023255,0.7684210526315789,0.8066298342541437,73,13,22,5,21.7,"{""resampler__sampling_strategy"": ""0.01"", ""model__n_estimators"": ""100"", ""model__min_samples_leaf"": ""1"", ""model__max_features"": ""sqrt"", ""model__max_depth"": ""10""}"
random_forest,class_weight,stratified,0.8228875636735749,0.03540930990647665,0.7904168601202788,0.805689109952914,0.8571428571428571,0.7578947368421053,0.8044692737430168,72,12,23,5,303.3,"{""model__n_estimators"": ""100"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""sqrt"", ""model__max_depth"": ""10""}"
xgboost,none,stratified,0.8516532226012,0.02766653938169276,0.8330321077464237,0.8523741872370025,0.9726027397260274,0.7473684210526316,0.8452380952380952,71,2,24,6,44.2,"{""model__subsample"": ""0.8"", ""model__n_estimators"": ""300"", ""model__max_depth"": ""5"", ""model__learning_rate"": ""0.03"", ""model__colsample_bytree"": ""1.0""}"
xgboost,smote,stratified,0.8403927378246088,0.04091191985175592,0.7990244727785639,0.8594450109862553,0.9487179487179487,0.7789473684210526,0.8554913294797688,74,4,21,6,50.4,"{""resampler__sampling_strategy"": ""0.01"", ""model__subsample"": ""1.0"", ""model__n_estimators"": ""300"", ""model__max_depth"": ""5"", ""model__learning_rate"": ""0.2"", ""model__colsample_bytree"": ""0.8""}"
xgboost,undersample,stratified,0.8409548111214015,0.04035280356410808,0.8153068908731836,0.8343620745880013,0.8823529411764706,0.7894736842105263,0.8333333333333334,75,10,20,6,13.2,"{""resampler__sampling_strategy"": ""0.01"", ""model__subsample"": ""1.0"", ""model__n_estimators"": ""300"", ""model__max_depth"": ""5"", ""model__learning_rate"": ""0.2"", ""model__colsample_bytree"": ""0.8""}"
xgboost,class_weight,stratified,0.8493907819947232,0.025055585072287886,0.829821750615477,0.8486104610779522,0.925,0.7789473684210526,0.8457142857142858,74,6,21,6,44.5,"{""model__subsample"": ""1.0"", ""model__n_estimators"": ""400"", ""model__max_depth"": ""5"", ""model__learning_rate"": ""0.1"", ""model__colsample_bytree"": ""1.0""}"
logistic_regression,none,chronological,0.7392343477563287,0.03530799404593585,0.737271372067696,0.6786181035739356,0.9473684210526315,0.4864864864864865,0.6428571428571429,36,2,38,5,3.6,"{""model__C"": ""0.01""}"
logistic_regression,smote,chronological,0.7796076821271446,0.032003211595762776,0.7450045233577789,0.6876843372656496,0.6041666666666666,0.7837837837837838,0.6823529411764706,58,38,16,5,7.5,"{""resampler__sampling_strategy"": ""0.05"", ""model__C"": ""0.01""}"
logistic_regression,undersample,chronological,0.7885474965483348,0.031044724197274425,0.7717941961527609,0.7499253692305541,0.7307692307692307,0.7702702702702703,0.75,57,21,17,5,1.5,"{""resampler__sampling_strategy"": ""0.05"", ""model__C"": ""0.01""}"
logistic_regression,class_weight,chronological,0.7606233062673488,0.06683514514127516,0.7618366472459821,0.24023010605160552,0.06606606606606606,0.8918918918918919,0.12301957129543337,66,933,8,5,6.8,"{""model__C"": ""100.0""}"
random_forest,none,chronological,0.7920433883009994,0.025029963972534222,0.7825817969056831,0.8053630578726799,0.98,0.6621621621621622,0.7903225806451613,49,1,25,5,205.5,"{""model__n_estimators"": ""100"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""sqrt"", ""model__max_depth"": ""10""}"
random_forest,smote,chronological,0.7937810560732063,0.03028266581181284,0.8059786687753774,0.803506990724402,0.8852459016393442,0.7297297297297297,0.8,54,7,20,5,258.3,"{""resampler__sampling_strategy"": ""0.01"", ""model__n_estimators"": ""100"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""sqrt"", ""model__max_depth"": ""10""}"
random_forest,undersample,chronological,0.7855594027937995,0.03923109155813726,0.7853072928615537,0.7638846739130885,0.7857142857142857,0.7432432432432432,0.7638888888888888,55,15,19,5,16.9,"{""resampler__sampling_strategy"": ""0.01"", ""model__n_estimators"": ""100"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""sqrt"", ""model__max_depth"": ""10""}"
random_forest,class_weight,chronological,0.7959597347642247,0.025189842486906443,0.818463505219129,0.8312733126011069,0.9473684210526315,0.7297297297297297,0.8244274809160306,54,3,20,5,178.7,"{""model__n_estimators"": ""100"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""sqrt"", ""model__max_depth"": ""10""}"
xgboost,none,chronological,0.8089493891984418,0.01408709603391341,0.7944601626951692,0.8141673694184131,0.9622641509433962,0.6891891891891891,0.8031496062992126,51,2,23,6,32.9,"{""model__subsample"": ""0.8"", ""model__n_estimators"": ""400"", ""model__max_depth"": ""5"", ""model__learning_rate"": ""0.03"", ""model__colsample_bytree"": ""0.8""}"
xgboost,smote,chronological,0.79241009232115,0.020731828691980723,0.7846499624285279,0.5501196950244858,0.38064516129032255,0.7972972972972973,0.5152838427947598,59,96,15,6,36.3,"{""resampler__sampling_strategy"": ""1.0"", ""model__subsample"": ""0.8"", ""model__n_estimators"": ""200"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.1"", ""model__colsample_bytree"": ""0.8""}"
xgboost,undersample,chronological,0.7750788295110614,0.028742458045130335,0.8049564475814261,0.588410845307111,0.44274809160305345,0.7837837837837838,0.5658536585365853,58,73,16,6,10.8,"{""resampler__sampling_strategy"": ""0.1"", ""model__subsample"": ""1.0"", ""model__n_estimators"": ""200"", ""model__max_depth"": ""5"", ""model__learning_rate"": ""0.03"", ""model__colsample_bytree"": ""0.8""}"
