model,protocol,config,params,train_pr_auc,cv_mean,cv_sd,cv_se,gap
xgboost,stratified,phase3 anchor,"{""subsample"": 0.8, ""n_estimators"": 300, ""max_depth"": 5, ""learning_rate"": 0.03, ""colsample_bytree"": 1.0}",0.9960378750170118,0.8516532226012,0.02766653938169276,0.012372852551928002,0.14438465241581178
xgboost,stratified,search 00,"{""subsample"": 0.8, ""reg_lambda"": 1, ""reg_alpha"": 5, ""n_estimators"": 400, ""min_child_weight"": 5, ""max_depth"": 3, ""learning_rate"": 0.05, ""gamma"": 1, ""colsample_bytree"": 0.8}",0.8883287771813152,0.8334859258946331,0.03388396005853537,0.015153367607554567,0.05484285128668209
xgboost,stratified,search 01,"{""subsample"": 0.7, ""reg_lambda"": 5, ""reg_alpha"": 5, ""n_estimators"": 100, ""min_child_weight"": 5, ""max_depth"": 5, ""learning_rate"": 0.03, ""gamma"": 2, ""colsample_bytree"": 0.8}",0.8380307234585979,0.8133843237549158,0.03520428856408566,0.0157438364657628,0.024646399703682098
xgboost,stratified,search 02,"{""subsample"": 0.8, ""reg_lambda"": 1, ""reg_alpha"": 1, ""n_estimators"": 100, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.02, ""gamma"": 0.5, ""colsample_bytree"": 0.8}",0.8106864954791282,0.8088540361820028,0.03280502116811338,0.014670851467044214,0.0018324592971253884
xgboost,stratified,search 03,"{""subsample"": 0.8, ""reg_lambda"": 20, ""reg_alpha"": 5, ""n_estimators"": 200, ""min_child_weight"": 10, ""max_depth"": 4, ""learning_rate"": 0.03, ""gamma"": 1, ""colsample_bytree"": 0.8}",0.8403227846407605,0.8121455667711185,0.03545655593317606,0.01585665386292103,0.028177217869642
xgboost,stratified,search 04,"{""subsample"": 0.6, ""reg_lambda"": 1, ""reg_alpha"": 0, ""n_estimators"": 400, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.05, ""gamma"": 0.5, ""colsample_bytree"": 0.8}",0.9845117199076602,0.8485400302474273,0.030900800571135246,0.013819258127244546,0.13597168966023288
xgboost,stratified,search 05,"{""subsample"": 0.7, ""reg_lambda"": 20, ""reg_alpha"": 1, ""n_estimators"": 100, ""min_child_weight"": 5, ""max_depth"": 2, ""learning_rate"": 0.1, ""gamma"": 0, ""colsample_bytree"": 0.7}",0.8495800403072643,0.8239698121189937,0.036714260521714656,0.016419116454038173,0.025610228188270634
xgboost,stratified,search 06,"{""subsample"": 0.6, ""reg_lambda"": 20, ""reg_alpha"": 5, ""n_estimators"": 300, ""min_child_weight"": 20, ""max_depth"": 4, ""learning_rate"": 0.1, ""gamma"": 2, ""colsample_bytree"": 0.8}",0.8453688696583309,0.8014746972464242,0.040904171702149106,0.018292901697865734,0.04389417241190674
xgboost,stratified,search 07,"{""subsample"": 0.6, ""reg_lambda"": 10, ""reg_alpha"": 1, ""n_estimators"": 300, ""min_child_weight"": 10, ""max_depth"": 3, ""learning_rate"": 0.05, ""gamma"": 2, ""colsample_bytree"": 0.7}",0.8729649102710584,0.8354167153995004,0.033341927537740276,0.014910963295051888,0.03754819487155803
xgboost,stratified,search 08,"{""subsample"": 0.8, ""reg_lambda"": 20, ""reg_alpha"": 0, ""n_estimators"": 400, ""min_child_weight"": 10, ""max_depth"": 2, ""learning_rate"": 0.1, ""gamma"": 0.5, ""colsample_bytree"": 0.8}",0.9028521241880307,0.8421121186542809,0.0322103263432132,0.014404895856175387,0.06074000553374981
xgboost,stratified,search 09,"{""subsample"": 0.6, ""reg_lambda"": 1, ""reg_alpha"": 0, ""n_estimators"": 200, ""min_child_weight"": 10, ""max_depth"": 5, ""learning_rate"": 0.1, ""gamma"": 1, ""colsample_bytree"": 0.8}",0.9194704383397345,0.8390208423664707,0.029472391096991613,0.013180453990466568,0.08044959597326384
xgboost,stratified,search 10,"{""subsample"": 0.6, ""reg_lambda"": 5, ""reg_alpha"": 0, ""n_estimators"": 200, ""min_child_weight"": 5, ""max_depth"": 4, ""learning_rate"": 0.03, ""gamma"": 0.5, ""colsample_bytree"": 0.6}",0.8766900531096772,0.8363479746502787,0.030144900748864285,0.01348120944988897,0.04034207845939852
xgboost,stratified,search 11,"{""subsample"": 0.8, ""reg_lambda"": 1, ""reg_alpha"": 1, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.05, ""gamma"": 2, ""colsample_bytree"": 0.6}",0.9109180515353051,0.8386723146489053,0.03005394635642614,0.013440533409020194,0.07224573688639979
xgboost,stratified,search 12,"{""subsample"": 0.6, ""reg_lambda"": 20, ""reg_alpha"": 0, ""n_estimators"": 400, ""min_child_weight"": 5, ""max_depth"": 3, ""learning_rate"": 0.1, ""gamma"": 0.5, ""colsample_bytree"": 0.7}",0.9346833429488152,0.847047931968345,0.029562123257282486,0.013220583432502228,0.08763541098047012
xgboost,stratified,search 13,"{""subsample"": 0.8, ""reg_lambda"": 10, ""reg_alpha"": 1, ""n_estimators"": 100, ""min_child_weight"": 1, ""max_depth"": 4, ""learning_rate"": 0.05, ""gamma"": 0.5, ""colsample_bytree"": 0.7}",0.8832697000909703,0.8293972286033148,0.027443079827986622,0.012272918401466264,0.053872471487655504
xgboost,stratified,search 14,"{""subsample"": 0.7, ""reg_lambda"": 1, ""reg_alpha"": 1, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.02, ""gamma"": 0, ""colsample_bytree"": 0.6}",0.8694482919136834,0.8311876778750701,0.030278668643013835,0.013541032270794048,0.03826061403861336
