model,fraction,n_train,train_pr_auc,test_pr_auc
xgboost,0.1,22697,0.7512492368172925,0.7024978267786649
xgboost,0.25,56744,0.8678546477071676,0.7547264066157288
xgboost,0.5,113490,0.8745564760802488,0.7850898846696516
xgboost,0.75,170234,0.892595926895597,0.7984605049619213
xgboost,1.0,226980,0.8967190634931075,0.8129283869404191
random_forest,0.1,22697,0.8059865894497331,0.6568308976517581
random_forest,0.25,56744,0.876266299513542,0.7427606211828409
random_forest,0.5,113490,0.879829052577203,0.7589913061006593
random_forest,0.75,170234,0.8688310935104373,0.7715250500095627
random_forest,1.0,226980,0.8891777205815947,0.7877870259570996
logistic_regression,0.1,22697,0.7807761845788244,0.6418106851165556
logistic_regression,0.25,56744,0.7506681897086713,0.6799546856701297
logistic_regression,0.5,113490,0.7784133510078185,0.6943391774230679
logistic_regression,0.75,170234,0.7335837869887808,0.6832912198235788
logistic_regression,1.0,226980,0.7590348142136272,0.6825811762838582
