protocol,feature,mean_shap_fraud,mean_shap_legit,mean_abs_shap,separation
stratified,V14,3.1147635,-0.8942745,1.0507697,4.009038
stratified,V10,1.8112078,-0.64708024,0.707845,2.458288
stratified,V4,0.9301989,-0.96356875,1.1333944,1.8937676
stratified,V12,0.6684197,-0.6410948,0.68962926,1.3095145
stratified,V11,0.09599948,-0.20177384,0.24953285,0.2977733
stratified,V3,0.112625055,-0.13393918,0.18538845,0.24656424
stratified,V7,0.13617381,-0.074094914,0.10953194,0.21026874
stratified,V16,0.15873794,-0.035076648,0.12677638,0.19381459
stratified,Amount,0.12390314,-0.058655877,0.13731422,0.18255901
stratified,V17,0.1572314,-0.025212087,0.05783186,0.1824435
stratified,V21,0.12526476,-0.050878912,0.13113119,0.17614368
stratified,V19,0.048476275,-0.08186994,0.17510174,0.13034621
stratified,V26,0.052891776,-0.030572027,0.13863705,0.0834638
stratified,V9,0.018846394,-0.037151713,0.06583197,0.05599811
stratified,V22,0.027826933,-0.025378304,0.14979649,0.053205237
stratified,Time,0.044937976,0.006837923,0.11513011,0.038100053
stratified,V15,-0.0126954,-0.047797754,0.11681639,0.035102352
stratified,V13,0.0048759296,-0.026237547,0.103964925,0.031113477
stratified,V20,0.025997452,0.0043841344,0.05491875,0.021613318
stratified,V25,0.0033649171,-0.0109931985,0.04436187,0.014358115
stratified,V18,0.014009447,0.005671022,0.0724584,0.008338425
stratified,V23,-0.009325142,-0.017648904,0.04116789,0.008323762
stratified,V24,0.0025060982,0.00016284593,0.09324421,0.0023432523
stratified,V5,0.0014230261,-0.0006778696,0.070142254,0.0021008956
stratified,V27,0.022768253,0.02113623,0.055445388,0.0016320236
stratified,V6,0.0045032892,0.008906539,0.093389824,-0.0044032494
stratified,V1,-0.010704164,0.004601854,0.08769233,-0.015306018
stratified,V8,-0.07756109,-0.03203799,0.22967234,-0.0455231
stratified,V28,0.018058248,0.06857573,0.12256503,-0.050517485
stratified,V2,-0.024671191,0.05672458,0.0852815,-0.08139577
chronological,V14,3.1645415,-0.6221991,0.85337996,3.7867405
chronological,V4,0.8849832,-1.1577173,1.3040183,2.0427005
chronological,V10,1.2497872,-0.59175605,0.6374548,1.8415432
chronological,V12,0.70435894,-0.8585266,0.86009216,1.5628855
chronological,V16,0.32736894,-0.09132776,0.17891945,0.4186967
chronological,V7,0.1917567,-0.14601354,0.17457089,0.33777022
chronological,V11,0.094477534,-0.23997468,0.24911931,0.3344522
chronological,V3,0.19344668,-0.077896126,0.12125359,0.2713428
chronological,V17,0.124841794,-0.08287849,0.09016594,0.20772028
chronological,V19,0.027303943,-0.12477413,0.18830447,0.15207808
chronological,V26,0.106685504,-0.029634101,0.140693,0.13631961
chronological,Amount,-0.0033415484,-0.13368548,0.25381288,0.13034393
chronological,V21,0.07631586,-0.050536305,0.10570554,0.12685215
chronological,V24,0.06816579,-0.02528384,0.12025614,0.09344962
chronological,V9,0.05219613,-0.039323725,0.068390094,0.091519855
chronological,V13,0.042112738,-0.02607278,0.09734458,0.068185516
chronological,V1,-0.028417619,-0.08707043,0.16021898,0.05865281
chronological,V27,0.049835958,-0.0031238382,0.04197468,0.052959796
chronological,V20,-0.0014019365,-0.03604682,0.1107128,0.034644887
chronological,V6,0.018289048,-0.0019680052,0.11448696,0.020257054
chronological,V23,-0.017143283,-0.033468958,0.064302035,0.016325675
chronological,V15,-0.0053086192,-0.021471193,0.07933548,0.016162574
chronological,V25,-0.03792981,-0.04403291,0.10201299,0.0061030984
chronological,V18,-0.0012472046,-0.002305029,0.12516506,0.0010578244
chronological,Time,-0.29332456,-0.29017875,0.29018444,-0.003145814
chronological,V22,-0.010219435,0.0017927181,0.102027394,-0.012012153
chronological,V5,-0.011531666,0.009553776,0.12654464,-0.021085441
chronological,V2,-0.0033896035,0.049326606,0.09628533,-0.05271621
chronological,V28,-0.03657547,0.03233932,0.12190503,-0.068914786
chronological,V8,-0.15166889,-0.0014618511,0.3366972,-0.15020704
