protocol,rank,feature,mean_abs_shap,mean_shap,share_pct
stratified,1,V4,1.1333944,-0.9603981,17.450895
stratified,2,V14,1.0507697,-0.8875631,16.17872
stratified,3,V10,0.707845,-0.64296484,10.898704
stratified,4,V12,0.68962926,-0.6389026,10.618236
stratified,5,V11,0.24953285,-0.20127541,3.8420622
stratified,6,V8,0.22967234,-0.03211419,3.5362694
stratified,7,V3,0.18538845,-0.1335264,2.8544297
stratified,8,V19,0.17510174,-0.08165172,2.696045
stratified,9,V22,0.14979649,-0.025289237,2.3064194
stratified,10,V26,0.13863705,-0.03043231,2.1345973
stratified,11,Amount,0.13731422,-0.058350258,2.1142297
stratified,12,V21,0.13113119,-0.050584048,2.0190296
stratified,13,V16,0.12677638,-0.034752186,1.9519784
stratified,14,V28,0.12256503,0.06849116,1.8871362
stratified,15,V15,0.11681639,-0.047738995,1.7986243
stratified,16,Time,0.11513011,0.0069017108,1.7726606
stratified,17,V7,0.10953194,-0.073742874,1.6864654
stratified,18,V13,0.103964925,-0.026185459,1.60075
stratified,19,V6,0.093389824,0.00889917,1.437925
stratified,20,V24,0.09324421,0.00016676901,1.4356829
stratified,21,V1,0.08769233,0.004576227,1.3502005
stratified,22,V2,0.0852815,0.056588292,1.3130809
stratified,23,V18,0.0724584,0.0056849783,1.1156434
stratified,24,V5,0.070142254,-0.000674353,1.0799817
stratified,25,V9,0.06583197,-0.03705796,1.0136161
stratified,26,V17,0.05783186,-0.02490667,0.89043826
stratified,27,V27,0.055445388,0.021138962,0.8536938
stratified,28,V20,0.05491875,0.004420315,0.8455851
stratified,29,V25,0.04436187,-0.010969164,0.6830406
stratified,30,V23,0.04116789,-0.017634975,0.6338628
chronological,1,V4,1.3040183,-1.1550535,17.825819
chronological,2,V12,0.86009216,-0.8564882,11.757387
chronological,3,V14,0.85337996,-0.61726004,11.665632
chronological,4,V10,0.6374548,-0.5893545,8.713953
chronological,5,V8,0.3366972,-0.0016577268,4.602622
chronological,6,Time,0.29018444,-0.29018268,3.9667966
chronological,7,Amount,0.25381288,-0.1335155,3.4696007
chronological,8,V11,0.24911931,-0.23953848,3.40544
chronological,9,V19,0.18830447,-0.12457575,2.574106
chronological,10,V16,0.17891945,-0.09078185,2.4458137
chronological,11,V7,0.17457089,-0.14557302,2.3863692
chronological,12,V1,0.16021898,-0.08699394,2.1901798
chronological,13,V26,0.140693,-0.029456342,1.9232613
chronological,14,V5,0.12654464,0.009526276,1.7298545
chronological,15,V18,0.12516506,-0.00230365,1.7109958
chronological,16,V28,0.12190503,0.032249454,1.6664314
chronological,17,V3,0.12125359,-0.07754227,1.6575263
chronological,18,V24,0.12025614,-0.025161965,1.6438912
chronological,19,V6,0.11448696,-0.0019415874,1.565027
chronological,20,V20,0.1107128,-0.03600165,1.5134345
chronological,21,V21,0.10570554,-0.050370887,1.4449857
chronological,22,V22,0.102027394,0.0017770532,1.3947059
chronological,23,V25,0.10201299,-0.04402494,1.394509
chronological,24,V13,0.09734458,-0.025983859,1.3306922
chronological,25,V2,0.09628533,0.049257852,1.3162122
chronological,26,V17,0.09016594,-0.08260768,1.2325608
chronological,27,V15,0.07933548,-0.021450123,1.0845093
chronological,28,V9,0.068390094,-0.039204355,0.93488675
chronological,29,V23,0.064302035,-0.033447675,0.87900335
chronological,30,V27,0.04197468,-0.003054773,0.5737903
