protocol,model,review_cost,threshold_selected_on_train,cost_deployed,cost_at_default_0_5,cost_oracle_test,threshold_oracle_test,optimism_gap,gain_vs_default,savings_vs_baseline,baseline_best,tp,fp,fn,n_train_scored
chronological,dnn,2.0,0.06,2763.39,4180.1900000000005,2761.39,0.07,2.0,1416.8000000000006,4964.280000000001,7727.67,53,3,21,189150
chronological,dnn,5.0,0.17,3266.4399999999996,4318.1900000000005,2926.39,0.07,340.0499999999997,1051.750000000001,4461.2300000000005,7727.67,50,2,24,189150
chronological,dnn,10.0,0.17,3526.4399999999996,4548.1900000000005,3201.39,0.07,325.0499999999997,1021.7500000000008,4201.2300000000005,7727.67,50,2,24,189150
chronological,dnn,25.0,0.21,4306.44,5238.1900000000005,4026.39,0.07,280.0499999999997,931.7500000000008,3421.2300000000005,7727.67,50,2,24,189150
chronological,logistic_regression,2.0,0.02,2844.7400000000002,6749.910000000001,2686.4199999999996,0.01,158.32000000000062,3905.1700000000005,4882.93,7727.67,60,55,14,189150
chronological,logistic_regression,5.0,0.02,3189.7400000000002,6863.910000000001,3160.4199999999996,0.01,29.32000000000062,3674.1700000000005,4537.93,7727.67,60,55,14,189150
chronological,logistic_regression,10.0,0.02,3764.7400000000002,7053.910000000001,3674.6800000000003,0.07,90.05999999999995,3289.1700000000005,3962.93,7727.67,60,55,14,189150
chronological,logistic_regression,25.0,0.03,5275.91,7623.910000000001,4679.68,0.07,596.2299999999996,2348.000000000001,2451.76,7727.67,57,39,17,189150
chronological,random_forest,2.0,0.19,2591.67,4372.86,2565.96,0.39,25.710000000000036,1781.1899999999996,5136.0,7727.67,55,20,19,189150
chronological,random_forest,5.0,0.19,2816.67,4519.86,2736.96,0.39,79.71000000000004,1703.1899999999996,4911.0,7727.67,55,20,19,189150
chronological,random_forest,10.0,0.26,3131.67,4764.86,3021.96,0.39,109.71000000000004,1633.1899999999996,4596.0,7727.67,55,14,19,189150
chronological,random_forest,25.0,0.26,4166.67,5499.86,3876.96,0.39,289.71000000000004,1333.1899999999996,3561.0,7727.67,55,14,19,189150
chronological,xgboost,2.0,0.01,2830.73,4035.9600000000005,2550.0099999999998,0.09,280.72000000000025,1205.2300000000005,4896.9400000000005,7727.67,61,163,13,189150
chronological,xgboost,5.0,0.24,3949.5400000000004,4197.960000000001,2775.0099999999998,0.09,1174.5300000000007,248.42000000000053,3778.1299999999997,7727.67,55,8,19,189150
chronological,xgboost,10.0,0.24,4264.540000000001,4467.960000000001,3150.0099999999998,0.09,1114.530000000001,203.42000000000007,3463.129999999999,7727.67,55,8,19,189150
chronological,xgboost,25.0,0.24,5209.540000000001,5277.960000000001,4275.01,0.09,934.5300000000007,68.42000000000007,2518.129999999999,7727.67,55,8,19,189150
stratified,dnn,2.0,0.09,3964.869999999999,5434.219999999999,3956.56,0.08,8.30999999999949,1469.35,10801.440000000002,14766.31,72,8,23,226980
stratified,dnn,5.0,0.09,4204.869999999999,5599.219999999999,4202.5599999999995,0.08,2.3099999999994907,1394.3500000000004,10561.440000000002,14766.31,72,8,23,226980
stratified,dnn,10.0,0.09,4604.869999999999,5874.219999999999,4604.869999999999,0.09,0.0,1269.3500000000004,10161.440000000002,14766.31,72,8,23,226980
stratified,dnn,25.0,0.17,5944.8,6699.219999999999,5804.869999999999,0.09,139.9300000000012,754.4199999999992,8821.510000000002,14766.31,71,5,24,226980
stratified,logistic_regression,2.0,0.03,4222.27,10490.18,4083.34,0.01,138.9300000000003,6267.91,10544.04,14766.310000000001,73,23,22,226980
stratified,logistic_regression,5.0,0.03,4510.27,10676.18,4481.53,0.07,28.74000000000069,6165.91,10256.04,14766.310000000001,73,23,22,226980
stratified,logistic_regression,10.0,0.03,4990.27,10986.18,4911.53,0.07,78.74000000000069,5995.91,9776.04,14766.310000000001,73,23,22,226980
stratified,logistic_regression,25.0,0.07,6201.53,11916.18,6201.53,0.07,0.0,5714.650000000001,8564.780000000002,14766.310000000001,71,15,24,226980
stratified,random_forest,2.0,0.19,3980.56,5061.4800000000005,3962.56,0.35,18.0,1080.9200000000005,10785.750000000002,14766.310000000001,73,21,22,226980
stratified,random_forest,5.0,0.19,4262.5599999999995,5283.4800000000005,4217.5599999999995,0.35,45.0,1020.920000000001,10503.750000000002,14766.310000000001,73,21,22,226980
stratified,random_forest,10.0,0.34,4652.5599999999995,5653.4800000000005,4642.5599999999995,0.35,10.0,1000.920000000001,10113.750000000002,14766.310000000001,73,13,22,226980
stratified,random_forest,25.0,0.34,5942.5599999999995,6763.4800000000005,5917.5599999999995,0.35,25.0,820.920000000001,8823.750000000002,14766.310000000001,73,13,22,226980
stratified,xgboost,2.0,0.1,3971.34,4209.84,3117.31,0.01,854.0300000000002,238.5,10794.970000000001,14766.310000000001,75,16,20,226980
stratified,xgboost,5.0,0.1,4244.34,4428.84,3894.31,0.01,350.0300000000002,184.5,10521.970000000001,14766.310000000001,75,16,20,226980
stratified,xgboost,10.0,0.1,4699.34,4793.84,4672.5599999999995,0.14,26.780000000000655,94.5,10066.970000000001,14766.310000000001,75,16,20,226980
stratified,xgboost,25.0,0.54,5888.84,5888.84,5826.52,0.7,62.31999999999971,0.0,8877.470000000001,14766.310000000001,70,3,25,226980
